,Item,Average score of fuzzy number Xmax)
16,"Providing that Feasible Business Model indicates to the feasibility of accomplishing a blockchain-based platform for healthcare in terms of profitability and applicability.
Do you think that the impact of Feasible Business Model on the adoption of healthcare is:",0.4266666666666667
17,"Providing that Paperwork Reduction represents the new technology's contribution to reducing paperwork usage. This factor is essential in adopting blockchain due to the digitization and data sharing that is accomplished by blockchain. 
Do you think that the impact of Paperwork Reduction on the adoption of healthcare is:",0.3511111111111111
18,"Providing that Co2 Emission represents the significance of CO2 emission generated from blockchain computing in preventing its adoption.    
Do you think that the impact of Co2 Emission on the adoption of healthcare is:",0.26666666666666666
19,"Providing that Resource Wastage  represents the significance of energy consumption needed for operating blockchain in preventing the adoption, considering that energy resources are limited and the priority of blockchain adoption is not at the top when compared with the basic needs of energy for a human being.      
Do you think that the impact of Resource Wastage on the adoption of healthcare is:",0.3111111111111111
20,"Providing that Legal Framework measures the available policy and regulation, the easiness of local legislation, and the clarity and maturity of the rules.         
Do you think that the impact of Legal framework on the adoption of healthcare is:",0.68
21,"Providing that Regulation Compliance represents the legalization efforts consumed by the healthcare organization in guiding the implementation with fulfilling the legal obligation.
Do you think that the impact of Regulation Compliance on the adoption of healthcare is:",0.68
22,"Providing that Budget Availability represents the needed or allocated budget that can cover all types of costs, namely, management claims and operation costs and maintenance costs.
Do you think that the impact of Budget Availability on the adoption of healthcare is:",0.5333333333333333
23,"Providing that Financial Risk, this factor measures the ability of healthcare organizations to measure the risk involved in the blockchain project due to the ambiguity and uncertainty considering the low number of similar projects.
Do you think that the impact of Financial Risk on the adoption of healthcare is:",0.36
24,"Providing that Long Term Cost Saving measures the benefit of long-term cost savings obtained from the successful implementation of the blockchain project.
Do you think that the impact of Long Term Cost Saving on the adoption of healthcare is:",0.36000000000000004
25,"Providing that Training Cost represents the allocated budget for training the resources to upgrade their skills to be capable of proceeding in the development and implementation.
Do you think that the impact of Training Cost on the adoption of healthcare is:",0.5333333333333333
26,"Providing that Performance Expectancy refers to the degree to which an individual thinks that utilizing a certain method or system would improve his or her ability to perform at work.
Do you think that the impact of Performance Expectancy on the adoption of healthcare is:",0.6666666666666667
27,"Providing that Effort Expectancy refers to the degree of simplicity involved with using the system.
Do you think that the impact of Effort Expectancy on the adoption of healthcare is:",0.64
28,"Providing that Social Influence refers to the degree to which an individual perceives that others believe he or she should use the new system.
Do you think that the impact of Social Influence on the adoption of healthcare is:",0.5466666666666666
29,"Providing that Trust indicates the behavior of tolerating uncertainty in favor of good expectations of the other party’s intention or will.
Do you think that the impact of Trust on the adoption of healthcare is:",0.6533333333333333
30,"Providing that Attitudes indicates feelings and beliefs about the benefits, quality, and effort associated with using the technology.
Do you think that the impact of Attitudes on the adoption of healthcare is:",0.48000000000000004
31,"Providing that Perceived Cost is defined as the degree to which a user perceived that it is expensive to utilize a specific technology or system to perform a specific task.
Do you think that the impact of perceived cost on the adoption of healthcare is:",0.49333333333333335
32,"Providing that Self-Efficacy, a determination of a person's technological ability for carrying out a specific task or employment.
Do you think that the impact of Self-Efficacy on the adoption of healthcare is:",0.64
33,"Providing that Privacy the right to govern the acquisition, use, and dissemination of personally identifiable health data is characterized as an individual's right to privacy.
Do you think that the impact of Privacy on the adoption of healthcare is:",0.6533333333333333
